Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1478015040,724.92,724.94,724.92,724.94,5.34707622,3876.2914821000004,724.9366425
1478018640,727.9,728.65,727.9,728.65,0.79601,579.59825664,728.12936601
1478022240,731.05,731.07,730.99,730.99,20.41909896,14927.015243,731.03202412
1478025840,725.92,726.99,725.92,726.99,5.51408917,4005.6880545000004,726.44600605
1478029440,727.0,727.0,727.0,727.0,12.34877579,8977.559999299998,727.0
1478033040,726.4,726.4,726.4,726.4,0.07,50.848,726.4
1478036640,727.44,727.44,727.44,727.44,1.24364563,904.67757709,727.44
1478040240,721.3,721.3,721.3,721.3,0.01379729,9.951985277,721.3
1478043840,726.6,726.6,726.6,726.6,0.09,65.39399999999999,726.6
1478047440,723.85,723.85,723.85,723.85,0.64549,467.23793650000005,723.85
1478051040,724.6,724.6,721.61,721.61,0.94684106,683.95804238,722.3578183
1478054640,725.0,725.02,724.44,724.44,5.1041300000000005,3697.6943653999997,724.45144724
1478058240,724.89,724.89,724.89,724.89,0.03440522,24.939999926,724.89
1478061840,723.13,723.13,723.13,723.13,0.01724082,12.467354167,723.13
1478065440,723.12,723.12,723.12,723.12,5.0,3615.6,723.12
1478069040,722.44,723.4,722.44,723.4,0.63723,460.76866953,723.08062948
1478072640,724.42,724.42,724.4,724.4,8.0999,5867.585476300001,724.40221192
1478076240,721.81,723.5,721.35,723.5,2.06126012,1487.5936139,721.69135735
1478079840,721.18,721.18,720.28,720.31,5.99911772,4324.5269603,720.86049352
1478083440,723.44,723.45,723.08,723.08,1.15160806,833.11780101,723.43866802
1478087040,723.08,724.99,722.98,722.98,30.01685529,21701.706871000002,722.98402553
1478090640,724.83,724.83,724.83,724.83,0.07453535,54.025457741000004,724.83
1478094240,723.43,723.45,723.43,723.45,4.56830572,3304.9199934,723.44545132
1478097840,723.53,723.53,723.53,723.53,0.07418471,53.67486322600001,723.53
1478101440,722.22,722.22,722.22,722.22,0.49633506,358.46310703,722.22
1478105040,724.99,724.99,723.76,723.76,0.46087869,334.11557337,724.95340014
1478108640,725.3,725.3,725.3,725.3,0.107,77.6071,725.3
1478112240,723.78,725.01,723.78,725.01,0.14332511,103.82318701,724.38937611
1478115840,725.99,725.99,725.99,725.99,0.03936944,28.581819746,725.99
1478119440,725.2,725.2,725.2,725.2,0.006999999999999999,5.0764,725.2
1478123040,729.47,729.47,729.47,729.47,0.10099999999999999,73.67647,729.47
1478126640,729.9,729.99,729.9,729.99,2.93,2138.8679574000003,729.98906397
1478130240,732.99,732.99,732.99,732.99,0.1,73.29899999999999,732.99
1478133840,740.77,741.51,740.77,741.51,0.48448394,359.09913387,741.19925186
1478137440,742.23,742.23,742.23,742.23,0.03100367,23.011853984000002,742.23
1478141040,740.0,740.0,740.0,740.0,0.90331188,668.4507912,740.0
1478144640,740.03,740.03,740.03,740.03,0.00762781,5.644808234299999,740.03
1478148240,741.4,741.4,741.4,741.4,0.03088828,22.900570791999996,741.4
